nu_m2_per_s,U_inf_m_per_s,x_m,Re_x,delta99_m
1e-05,0.1,0.5,5000,0.0347896536343781
1e-05,0.1,0.511278195488722,5112.78195488722,0.0351798301748007
1e-05,0.1,0.522556390977444,5225.56390977444,0.0355657265110055
1e-05,0.1,0.533834586466165,5338.34586466166,0.0359474804872811
1e-05,0.1,0.545112781954887,5451.12781954887,0.0363252227042213
1e-05,0.1,0.556390977443609,5563.90977443609,0.0366990770406981
1e-05,0.1,0.567669172932331,5676.69172932331,0.037069161128449
1e-05,0.1,0.578947368421053,5789.47368421053,0.037435586784432
1e-05,0.1,0.590225563909774,5902.25563909775,0.0377984604054524
1e-05,0.1,0.601503759398496,6015.03759398496,0.0381578833290105
1e-05,0.1,0.612781954887218,6127.81954887218,0.0385139521638353
1e-05,0.1,0.62406015037594,6240.6015037594,0.0388667590931636
1e-05,0.1,0.635338345864662,6353.38345864662,0.0392163921534584
1e-05,0.1,0.646616541353383,6466.16541353384,0.0395629354909574
1e-05,0.1,0.657894736842105,6578.94736842105,0.0399064695981676
1e-05,0.1,0.669172932330827,6691.72932330827,0.0402470715321909
1e-05,0.1,0.680451127819549,6804.51127819549,0.040584815116557
1e-05,0.1,0.691729323308271,6917.29323308271,0.0409197711280615
1e-05,0.1,0.703007518796992,7030.07518796992,0.0412520074699493
1e-05,0.1,0.714285714285714,7142.85714285714,0.041581589332643
1e-05,0.1,0.725563909774436,7255.63909774436,0.0419085793430938
1e-05,0.1,0.736842105263158,7368.42105263158,0.0422330377037244
1e-05,0.1,0.74812030075188,7481.2030075188,0.0425550223218368
1e-05,0.1,0.759398496240602,7593.98496240602,0.0428745889302725
1e-05,0.1,0.770676691729323,7706.76691729323,0.0431917912000379
1e-05,0.1,0.781954887218045,7819.54887218045,0.0435066808455378
1e-05,0.1,0.793233082706767,7932.33082706767,0.0438193077230039
1e-05,0.1,0.804511278195489,8045.11278195489,0.0441297199226454
1e-05,0.1,0.815789473684211,8157.89473684211,0.0444379638550074
1e-05,0.1,0.827067669172932,8270.67669172932,0.0447440843319736
