x,Re,y,u,v
0.5,50000,0,0,0
0.5,50000,0.001010101,0.149894564,-0.000269079
0.5,50000,0.002020202,0.298390144,-0.001524617
0.5,50000,0.003030303,0.442040129,-0.005692585
0.5,50000,0.004040404,0.576244963,-0.01449002
0.5,50000,0.005050505,0.695493635,-0.036534878
0.5,50000,0.006060606,0.794145069,-0.08345587
0.5,50000,0.007070707,0.869945064,-0.161524899
0.5,50000,0.008080808,0.923953931,-0.273474358
0.5,50000,0.009090909,0.959118467,-0.419151795
0.5,50000,0.01010101,0.980069807,-0.593389651
0.5,50000,0.011111111,0.990973242,-0.790448749
0.5,50000,0.012121212,0.996288759,-1.001220708
0.5,50000,0.013131313,0.998608685,-1.220036182
0.5,50000,0.014141414,0.99952836,-1.442918559
0.5,50000,0.015151515,0.999854183,-1.66766014
0.5,50000,0.016161616,0.999958768,-1.893143061
0.5,50000,0.017171717,0.999989503,-2.118889573
0.5,50000,0.018181818,0.999997538,-2.344722237
0.5,50000,0.019191919,0.999999477,-2.57057937
0.5,50000,0.02020202,0.999999915,-2.796442847
0.5,50000,0.021212121,1.000000021,-3.022307801
0.5,50000,0.022222222,0.999999994,-3.248173394
0.5,50000,0.023232323,1.000000033,-3.474038644
0.5,50000,0.024242424,1.000000072,-3.69990388
0.5,50000,0.025252525,1.00000011,-3.925769098
0.5,50000,0.026262626,1.000000149,-4.151634299
0.5,50000,0.027272727,1.000000187,-4.377499483
0.5,50000,0.028282828,1.000000226,-4.603364649
0.5,50000,0.029292929,1.000000264,-4.829229798
0.5,50000,0.03030303,1.000000303,-5.055094929
0.5,50000,0.031313131,1.000000341,-5.280960043
0.5,50000,0.032323232,1.00000038,-5.50682514
0.5,50000,0.033333333,1.000000418,-5.732690219
0.5,50000,0.034343434,1.000000456,-5.958555281
0.5,50000,0.035353535,1.000000495,-6.184420325
0.5,50000,0.036363636,1.000000533,-6.410285352
0.5,50000,0.037373737,1.000000572,-6.636150362
0.5,50000,0.038383838,1.00000061,-6.862015354
0.5,50000,0.039393939,1.000000649,-7.087880329
0.5,50000,0.04040404,1.000000687,-7.313745287
0.5,50000,0.041414141,1.000000726,-7.539610227
0.5,50000,0.042424242,1.000000764,-7.76547515
0.5,50000,0.043434343,1.000000803,-7.991340055
0.5,50000,0.044444444,1.000000841,-8.217204943
0.5,50000,0.045454545,1.00000088,-8.443069814
0.5,50000,0.046464646,1.000000918,-8.668934667
0.5,50000,0.047474747,1.000000957,-8.894799503
0.5,50000,0.048484848,1.000000995,-9.120664322
0.5,50000,0.049494949,1.000001034,-9.346529123
0.5,50000,0.050505051,1.000001072,-9.572393906
0.5,50000,0.051515152,1.000001111,-9.798258673
0.5,50000,0.052525253,1.000001149,-10.02412342
0.5,50000,0.053535354,1.000001188,-10.24998815
0.5,50000,0.054545455,1.000001226,-10.47585287
0.5,50000,0.055555556,1.000001265,-10.70171756
0.5,50000,0.056565657,1.000001303,-10.92758224
0.5,50000,0.057575758,1.000001341,-11.15344691
0.5,50000,0.058585859,1.00000138,-11.37931155
0.5,50000,0.05959596,1.000001418,-11.60517618
0.5,50000,0.060606061,1.000001457,-11.83104079
0.5,50000,0.061616162,1.000001495,-12.05690538
0.5,50000,0.062626263,1.000001534,-12.28276996
0.5,50000,0.063636364,1.000001572,-12.50863451
0.5,50000,0.064646465,1.000001611,-12.73449905
0.5,50000,0.065656566,1.000001649,-12.96036358
0.5,50000,0.066666667,1.000001688,-13.18622808
0.5,50000,0.067676768,1.000001726,-13.41209257
0.5,50000,0.068686869,1.000001765,-13.63795704
0.5,50000,0.06969697,1.000001803,-13.86382149
0.5,50000,0.070707071,1.000001842,-14.08968593
0.5,50000,0.071717172,1.00000188,-14.31555035
0.5,50000,0.072727273,1.000001919,-14.54141475
0.5,50000,0.073737374,1.000001957,-14.76727914
0.5,50000,0.074747475,1.000001996,-14.9931435
0.5,50000,0.075757576,1.000002034,-15.21900785
0.5,50000,0.076767677,1.000002073,-15.44487218
0.5,50000,0.077777778,1.000002111,-15.6707365
0.5,50000,0.078787879,1.00000215,-15.89660079
0.5,50000,0.07979798,1.000002188,-16.12246507
0.5,50000,0.080808081,1.000002226,-16.34832934
0.5,50000,0.081818182,1.000002265,-16.57419358
0.5,50000,0.082828283,1.000002303,-16.80005781
0.5,50000,0.083838384,1.000002342,-17.02592202
0.5,50000,0.084848485,1.00000238,-17.25178621
0.5,50000,0.085858586,1.000002419,-17.47765039
0.5,50000,0.086868687,1.000002457,-17.70351454
0.5,50000,0.087878788,1.000002496,-17.92937869
0.5,50000,0.088888889,1.000002534,-18.15524281
0.5,50000,0.08989899,1.000002573,-18.38110691
0.5,50000,0.090909091,1.000002611,-18.606971
0.5,50000,0.091919192,1.00000265,-18.83283507
0.5,50000,0.092929293,1.000002688,-19.05869913
0.5,50000,0.093939394,1.000002727,-19.28456316
0.5,50000,0.094949495,1.000002765,-19.51042718
0.5,50000,0.095959596,1.000002804,-19.73629118
0.5,50000,0.096969697,1.000002842,-19.96215517
0.5,50000,0.097979798,1.000002881,-20.18801914
0.5,50000,0.098989899,1.000002919,-20.41388308
0.5,50000,0.1,1.000002958,-20.63974702
0.646464646,64646.46465,0,0,0
0.646464646,64646.46465,0.001010101,0.131852154,-0.000246985
0.646464646,64646.46465,0.002020202,0.262849382,-0.001579426
0.646464646,64646.46465,0.003030303,0.391041629,-0.002860801
0.646464646,64646.46465,0.004040404,0.513053056,-0.009203225
0.646464646,64646.46465,0.005050505,0.626030864,-0.019895853
0.646464646,64646.46465,0.006060606,0.724410697,-0.048779443
0.646464646,64646.46465,0.007070707,0.807507186,-0.093387399
0.646464646,64646.46465,0.008080808,0.872329032,-0.164642291
0.646464646,64646.46465,0.009090909,0.920249303,-0.262342333
0.646464646,64646.46465,0.01010101,0.953549084,-0.385722803
0.646464646,64646.46465,0.011111111,0.974615997,-0.533547142
0.646464646,64646.46465,0.012121212,0.986994718,-0.700347017
0.646464646,64646.46465,0.013131313,0.993789207,-0.880355788
0.646464646,64646.46465,0.014141414,0.997250374,-1.068897048
0.646464646,64646.46465,0.015151515,0.99886112,-1.262554028
0.646464646,64646.46465,0.016161616,0.999563231,-1.458893699
0.646464646,64646.46465,0.017171717,0.999844396,-1.656560101
0.646464646,64646.46465,0.018181818,0.999948469,-1.854819336
0.646464646,64646.46465,0.019191919,0.999984164,-2.053320819
0.646464646,64646.46465,0.02020202,0.999995494,-2.251913394
0.646464646,64646.46465,0.021212121,0.999998858,-2.450537296
0.646464646,64646.46465,0.022222222,0.999999734,-2.64917149
0.646464646,64646.46465,0.023232323,0.999999929,-2.847808646
0.646464646,64646.46465,0.024242424,1.000000027,-3.046446215
0.646464646,64646.46465,0.025252525,0.999999994,-3.245084433
0.646464646,64646.46465,0.026262626,1.000000028,-3.443722295
0.646464646,64646.46465,0.027272727,1.000000062,-3.642360147
0.646464646,64646.46465,0.028282828,1.000000096,-3.840997985
0.646464646,64646.46465,0.029292929,1.00000013,-4.03963581
0.646464646,64646.46465,0.03030303,1.000000163,-4.238273622
0.646464646,64646.46465,0.031313131,1.000000197,-4.43691142
0.646464646,64646.46465,0.032323232,1.000000231,-4.635549205
0.646464646,64646.46465,0.033333333,1.000000265,-4.834186976
0.646464646,64646.46465,0.034343434,1.000000299,-5.032824734
0.646464646,64646.46465,0.035353535,1.000000333,-5.231462478
0.646464646,64646.46465,0.036363636,1.000000366,-5.430100209
0.646464646,64646.46465,0.037373737,1.0000004,-5.628737927
0.646464646,64646.46465,0.038383838,1.000000434,-5.827375631
0.646464646,64646.46465,0.039393939,1.000000468,-6.026013321
0.646464646,64646.46465,0.04040404,1.000000502,-6.224650998
0.646464646,64646.46465,0.041414141,1.000000536,-6.423288662
0.646464646,64646.46465,0.042424242,1.000000569,-6.621926312
0.646464646,64646.46465,0.043434343,1.000000603,-6.820563949
0.646464646,64646.46465,0.044444444,1.000000637,-7.019201572
0.646464646,64646.46465,0.045454545,1.000000671,-7.217839182
0.646464646,64646.46465,0.046464646,1.000000705,-7.416476779
0.646464646,64646.46465,0.047474747,1.000000739,-7.615114362
0.646464646,64646.46465,0.048484848,1.000000773,-7.813751931
0.646464646,64646.46465,0.049494949,1.000000806,-8.012389487
0.646464646,64646.46465,0.050505051,1.00000084,-8.21102703
0.646464646,64646.46465,0.051515152,1.000000874,-8.409664559
0.646464646,64646.46465,0.052525253,1.000000908,-8.608302075
0.646464646,64646.46465,0.053535354,1.000000942,-8.806939578
0.646464646,64646.46465,0.054545455,1.000000976,-9.005577067
0.646464646,64646.46465,0.055555556,1.000001009,-9.204214542
0.646464646,64646.46465,0.056565657,1.000001043,-9.402852004
0.646464646,64646.46465,0.057575758,1.000001077,-9.601489453
0.646464646,64646.46465,0.058585859,1.000001111,-9.800126888
